Java HotSpot(TM) 64-Bit Server VM (25.121-b13) for linux-amd64 JRE (1.8.0_121-b13), built on Dec 12 2016 16:36:53 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
2017-05-07T20:21:53.381+0800: 8.863: [GC (Allocation Failure) [PSYoungGen: 695208K->424K(696832K)] 705088K->10304K(2095104K), 0.0005411 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:53.573+0800: 9.054: [GC (Allocation Failure) [PSYoungGen: 695208K->434K(697344K)] 705088K->10314K(2095616K), 0.0006384 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:53.764+0800: 9.245: [GC (Allocation Failure) [PSYoungGen: 695690K->509K(696832K)] 705569K->10389K(2095104K), 0.0004894 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:53.948+0800: 9.429: [GC (Allocation Failure) [PSYoungGen: 695805K->466K(697344K)] 705685K->10346K(2095616K), 0.0006090 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:54.141+0800: 9.623: [GC (Allocation Failure) [PSYoungGen: 696274K->392K(697344K)] 706154K->10272K(2095616K), 0.0005839 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:54.329+0800: 9.810: [GC (Allocation Failure) [PSYoungGen: 696200K->1526K(694272K)] 706080K->14633K(2092544K), 0.0023494 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
2017-05-07T20:21:54.527+0800: 10.008: [GC (Allocation Failure) [PSYoungGen: 694262K->402K(695808K)] 707369K->14599K(2094080K), 0.0012545 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:54.721+0800: 10.203: [GC (Allocation Failure) [PSYoungGen: 693138K->392K(696320K)] 707335K->14589K(2094592K), 0.0007730 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:54.911+0800: 10.392: [GC (Allocation Failure) [PSYoungGen: 693640K->392K(695808K)] 707837K->14589K(2094080K), 0.0005999 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:55.096+0800: 10.578: [GC (Allocation Failure) [PSYoungGen: 693640K->509K(696320K)] 707837K->14705K(2094592K), 0.0007011 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:55.285+0800: 10.767: [GC (Allocation Failure) [PSYoungGen: 694269K->392K(696320K)] 708465K->14589K(2094592K), 0.0006998 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2017-05-07T20:21:55.469+0800: 10.950: [GC (Allocation Failure) [PSYoungGen: 694128K->445K(696320K)] 708324K->14641K(2094592K), 0.0014573 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:55.659+0800: 11.141: [GC (Allocation Failure) [PSYoungGen: 694198K->402K(696320K)] 708395K->14599K(2094592K), 0.0007028 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:55.851+0800: 11.332: [GC (Allocation Failure) [PSYoungGen: 694107K->402K(696832K)] 708303K->14599K(2095104K), 0.0007227 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:56.041+0800: 11.523: [GC (Allocation Failure) [PSYoungGen: 695186K->392K(696832K)] 709383K->14589K(2095104K), 0.0007782 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:56.230+0800: 11.711: [GC (Allocation Failure) [PSYoungGen: 695176K->275K(696832K)] 709373K->14573K(2095104K), 0.0006664 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:56.417+0800: 11.898: [GC (Allocation Failure) [PSYoungGen: 695059K->466K(696832K)] 709357K->14764K(2095104K), 0.0007395 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:56.611+0800: 12.092: [GC (Allocation Failure) [PSYoungGen: 695250K->434K(696832K)] 709548K->14732K(2095104K), 0.0005034 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:56.797+0800: 12.278: [GC (Allocation Failure) [PSYoungGen: 695207K->424K(696832K)] 709504K->14721K(2095104K), 0.0007803 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:56.986+0800: 12.467: [GC (Allocation Failure) [PSYoungGen: 695176K->382K(697344K)] 709473K->14679K(2095616K), 0.0005030 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2017-05-07T20:21:57.171+0800: 12.652: [GC (Allocation Failure) [PSYoungGen: 696190K->424K(697344K)] 710487K->14721K(2095616K), 0.0005689 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:57.362+0800: 12.843: [GC (Allocation Failure) [PSYoungGen: 696232K->318K(697344K)] 710529K->14615K(2095616K), 0.0007584 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:57.556+0800: 13.037: [GC (Allocation Failure) [PSYoungGen: 696112K->392K(697344K)] 710409K->14689K(2095616K), 0.0006644 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:57.727+0800: 13.208: [GC (Allocation Failure) [PSYoungGen: 696200K->466K(697344K)] 710497K->14772K(2095616K), 0.0007027 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:57.892+0800: 13.374: [GC (Allocation Failure) [PSYoungGen: 696274K->434K(697344K)] 710580K->14740K(2095616K), 0.0006318 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:58.062+0800: 13.543: [GC (Allocation Failure) [PSYoungGen: 696242K->466K(697344K)] 710548K->14772K(2095616K), 0.0005646 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:58.238+0800: 13.720: [GC (Allocation Failure) [PSYoungGen: 696274K->424K(697344K)] 710580K->14729K(2095616K), 0.0006984 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:58.418+0800: 13.899: [GC (Allocation Failure) [PSYoungGen: 696205K->382K(697856K)] 710510K->14780K(2096128K), 0.0008437 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:58.599+0800: 14.080: [GC (Allocation Failure) [PSYoungGen: 697214K->392K(697856K)] 711612K->14790K(2096128K), 0.0009944 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:58.806+0800: 14.287: [GC (Allocation Failure) [PSYoungGen: 697224K->360K(697856K)] 711622K->14758K(2096128K), 0.0006619 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2017-05-07T20:21:58.987+0800: 14.468: [GC (Allocation Failure) [PSYoungGen: 697192K->1017K(697856K)] 711590K->19109K(2096128K), 0.0017899 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:59.183+0800: 14.664: [GC (Allocation Failure) [PSYoungGen: 697832K->509K(694784K)] 715924K->19258K(2093056K), 0.0020155 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:59.372+0800: 14.854: [GC (Allocation Failure) [PSYoungGen: 694269K->466K(696320K)] 713018K->19215K(2094592K), 0.0005739 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:59.565+0800: 15.046: [GC (Allocation Failure) [PSYoungGen: 694226K->424K(696320K)] 712975K->19173K(2094592K), 0.0007455 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
